id,book,volume,chapter,question_no,sgf_content
21,初级篇,上,2.行 棋/02.小 飞,小 飞13,"(;AB[pq][pd][nd][qe][qk][jp]AP[MultiGo:4.4.4]AW[dd][dj][dp][qf][pf][qi]
C[第13题：
      请在黑●处小飞逼迫白棋，扩大黑棋的模样。]CA[UTF-8]CR[qk]
MULTIGOGM[1]SZ[19];B[oj]C[RIGHT：]KEY[])
"
22,初级篇,上,2.行 棋/02.小 飞,小 飞14,"(;AB[nd][qe][qk][oj][fq][jp][pq][pd]AP[MultiGo:4.4.4]
AW[dp][cn][dd][fc][qf][pf][oh][qi]
C[第14题：
      请在黑●处小飞逼迫白棋，扩大黑棋的模样。]CA[UTF-8]CR[oj]
MULTIGOGM[1]SZ[19];B[mi]C[RIGHT：]KEY[])
"
23,初级篇,上,2.行 棋/02.小 飞,小 飞15,"(;AB[gd][lc][me][od][pd][qd][op][on][mo][ml][qj][pj][ck]AP[MultiGo:4.4.4]
AW[dd][df][qc][pc][nc][nb][dp][jp][kq][nq][nk][ol][ql]
C[第15题：
      请在黑●处小飞逼迫白棋，扩大黑棋的模样。]CA[UTF-8]CR[pj]
MULTIGOGM[1]SZ[19];B[ni]C[RIGHT：]KEY[])
"
24,初级篇,上,2.行 棋/02.小 飞,小 飞16,"(;AB[ck][pd][nc][qh][pq][qo][kp][en][cn]AP[MultiGo:4.4.4]
AW[dq][cp][ci][dd][qf][ph][rh][qj]
C[第16题：
      请在黑●处小飞逼迫白棋，扩大黑棋的模样。]CA[UTF-8]CR[en]
MULTIGOGM[1]SZ[19];B[fp]C[RIGHT：]KEY[])
"
25,初级篇,上,2.行 棋/03.大 飞,大 飞1,"(;AB[pd][pf][pj][mq][nq][op][pp][qp][ro][qn][jp]AP[MultiGo:4.4.4]
AW[dd][dp][jd][nc][rp][rq][qq][pq][oq][nr][mr]
C[第1题：
      请在黑●处下大飞扩大模样。]CA[UTF-8]CR[pd][pf]MULTIGOGM[1]
SZ[19];B[me]C[RIGHT：]KEY[])
"
26,初级篇,上,2.行 棋/03.大 飞,大 飞2,"(;AB[cf][me][pd][pf][qk][po][pq][ci]AP[MultiGo:4.4.4]
AW[dp][cn][dd][fd][jd][kc][nc][jq][mp]
C[第2题：
      请在黑●处下大飞扩大模样。]CA[UTF-8]CR[po]MULTIGOGM[1]SZ[19];
B[mn]C[RIGHT：]KEY[])
"
27,初级篇,上,2.行 棋/03.大 飞,大 飞3,"(;AB[mp][pj][le][rg][qg][qf][pc][pd][oe][pp]AP[MultiGo:4.4.4]
AW[dp][jq][dd][cf][nc][pb][qc][qd][re][rf]
C[第3题：
      请在黑●处下大飞扩大模样。]CA[UTF-8]CR[mp]MULTIGOGM[1]SZ[19];
B[jo]C[RIGHT：]KEY[])
"
28,初级篇,上,2.行 棋/03.大 飞,大 飞4,"(;AB[ip][pd][qi][ql][qo][po][qq][pq][on][om][fq]AP[MultiGo:4.4.4]
AW[dp][cn][dd][qk][pk][pl][rm][qn][pn][ro][rp]
C[第4题：
      请在黑●处下大飞扩大模样。]CA[UTF-8]CR[ip]MULTIGOGM[1]SZ[19];
B[lo]C[RIGHT：]KEY[])
"
29,初级篇,上,2.行 棋/03.大 飞,大 飞5,"(;AB[pp][pd][dd][fo][fq]AP[MultiGo:4.4.4]AW[dp][cn][hq]
C[第5题：
      请在黑●处下大飞逼迫白棋。]CA[UTF-8]CR[fo]MULTIGOGM[1]SZ[19];
B[ip]C[RIGHT：]KEY[])
"
30,初级篇,上,2.行 棋/03.大 飞,大 飞6,"(;AB[jd][pd][qg][qm][om][np][lp][fc]AP[MultiGo:4.4.4]
AW[dd][cf][qi][qk][qp][oq][nq][dp][fq]
C[第6题：
      请在黑●处下大飞逼迫白棋。]CA[UTF-8]CR[om]MULTIGOGM[1]SZ[19];
B[pj]C[RIGHT：]KEY[])
"
31,初级篇,上,2.行 棋/03.大 飞,大 飞7,"(;AB[dn][dm][eq][kq][qp][pd][qd][nc][pf][of][do]AP[MultiGo:4.4.4]
AW[cm][cl][co][cp][gq][dd][fc][qf][qe][pg][qj]
C[第7题：
      请在黑●处下大飞逼迫白棋。]CA[UTF-8]CR[kq]MULTIGOGM[1]SZ[19];
B[hp]C[RIGHT：]KEY[])
"
32,初级篇,上,2.行 棋/03.大 飞,大 飞8,"(;AB[cf][bd][pd][oj][oh][qh][qo][pp][np][ci]AP[MultiGo:4.4.4]
AW[dp][fq][cc][dd][fd][jc][mc][qj][qm][om]
C[第8题：
      请在黑●处下大飞逼迫白棋。]CA[UTF-8]CR[np]MULTIGOGM[1]SZ[19];
B[mm]C[RIGHT：]KEY[])
"
33,初级篇,上,2.行 棋/01.基本行棋,基本行棋01,"(;AB[eq]AP[MultiGo:4.4.4]AW[cp][gp]
C[第1题：
      黑先，白1夹攻时，请向中央一间跳。]CA[UTF-8]LB[gp:1]
MULTIGOGM[1]SZ[19];B[eo]C[RIGHT：]KEY[])
"
34,初级篇,上,2.行 棋/01.基本行棋,基本行棋02,"(;AB[co]AP[MultiGo:4.4.4]AW[dq][dl]
C[第2题：
      黑先，白1夹攻时，请向中央一间跳。]CA[UTF-8]MULTIGOGM[1]SZ[19];
B[eo]C[RIGHT：]KEY[])
"
35,初级篇,上,2.行 棋/01.基本行棋,基本行棋03,"(;AB[fq]AP[MultiGo:4.4.4]AW[dp][hq]
C[第3题：
      黑先，白1夹攻时，请向中央一间跳。]CA[UTF-8]LB[hq:1]
MULTIGOGM[1]SZ[19];B[fo]C[RIGHT：]KEY[])
"
36,初级篇,上,2.行 棋/01.基本行棋,基本行棋04,"(;AB[do]AP[MultiGo:4.4.4]AW[dq][dm]
C[第4题：
      黑先，白1夹攻时，请向中央一间跳。]CA[UTF-8]LB[dm:1]
MULTIGOGM[1]SZ[19];B[fo]C[RIGHT：]KEY[])
"
37,初级篇,上,2.行 棋/01.基本行棋,基本行棋05,"(;AB[fq]AP[MultiGo:4.4.4]AW[cq][co][hq]
C[第5题：
      黑先，白1夹攻时，请向中央一间跳。]CA[UTF-8]LB[hq:1]
MULTIGOGM[1]SZ[19];B[fo]C[RIGHT：]KEY[])
"
38,初级篇,上,2.行 棋/01.基本行棋,基本行棋06,"(;AB[cn][en]AP[MultiGo:4.4.4]AW[cq][eq][cl][el]
C[第6题：
      黑先，白1夹攻时，请向中央一间跳。]CA[UTF-8]LB[el:1]
MULTIGOGM[1]SZ[19];B[gn]C[RIGHT：]KEY[])
"
39,初级篇,上,2.行 棋/01.基本行棋,基本行棋07,"(;AB[eq]AP[MultiGo:4.4.4]AW[cp][hp]
C[第7题：
      白1夹攻的场面，请向中央二间跳。]CA[UTF-8]LB[hp:1]MULTIGOGM[1]
SZ[19];B[en]C[RIGHT：]KEY[])
"
40,初级篇,上,2.行 棋/01.基本行棋,基本行棋08,"(;AB[co]AP[MultiGo:4.4.4]AW[dq][ck]
C[第8题：
      白1夹攻的场面，请向中央二间跳。]CA[UTF-8]LB[ck:1]MULTIGOGM[1]
SZ[19];B[fo]C[RIGHT：]KEY[])
"
41,初级篇,上,2.行 棋/01.基本行棋,基本行棋09,"(;AB[fp][fq][ep]AP[MultiGo:4.4.4]AW[cp][cn][dq][eq][ip]
C[第9题：
      白1夹攻的场面，请向中央二间跳。]CA[UTF-8]LB[ip:1]MULTIGOGM[1]
SZ[19];B[fm]C[RIGHT：]KEY[])
"
42,初级篇,上,2.行 棋/01.基本行棋,基本行棋10,"(;AB[gq][eq]AP[MultiGo:4.4.4]AW[cq][co][iq][io]
C[第10题：
      白1夹攻的场面，请向中央二间跳。]CA[UTF-8]LB[io:1]MULTIGOGM[1]
SZ[19](;B[en]C[RIGHT：]KEY[])(;B[gn]C[RIGHT：]KEY[]))
"
43,初级篇,上,2.行 棋/01.基本行棋,基本行棋11,"(;AB[do][dp]AP[MultiGo:4.4.4]AW[cq][cp][er]
C[第11题：
      白1夹攻的场面，请向中央二间跳。]CA[UTF-8]LB[er:1]MULTIGOGM[1]
SZ[19];B[gp]C[RIGHT：]KEY[])
"
44,初级篇,上,2.行 棋/01.基本行棋,基本行棋12,"(;AB[do][gp][dp]AP[MultiGo:4.4.4]AW[cq][cp][er][bn]
C[第12题：
      白1夹攻的场面，请向中央二间跳。]CA[UTF-8]LB[bn:1]MULTIGOGM[1]
SZ[19];B[dl]C[RIGHT：]KEY[])
"
45,初级篇,上,2.行 棋/01.基本行棋,基本行棋13,"(;AB[cp]AP[MultiGo:4.4.4]AW[eq][cm]
C[第13题：
      白1夹攻的场面，请向中央尖出。]CA[UTF-8]LB[cm:1]MULTIGOGM[1]
SZ[19];B[do]C[RIGHT：]KEY[])
"
46,初级篇,上,2.行 棋/01.基本行棋,基本行棋14,"(;AB[eq]AP[MultiGo:4.4.4]AW[cp][hp]
C[第14题：
      白1夹攻的场面，请向中央尖出。]CA[UTF-8]LB[hp:1]MULTIGOGM[1]
SZ[19];B[fp]C[RIGHT：]KEY[])
"
47,初级篇,上,2.行 棋/01.基本行棋,基本行棋15,"(;AB[dq]AP[MultiGo:4.4.4]AW[co][gp]
C[第15题：
      白1夹攻的场面，请向中央尖出。]CA[UTF-8]LB[gp:1]MULTIGOGM[1]
SZ[19];B[ep]C[RIGHT：]KEY[])
"
48,初级篇,上,2.行 棋/01.基本行棋,基本行棋16,"(;AB[do][cp]AP[MultiGo:4.4.4]AW[cm][eq][gp]
C[第16题：
      白1夹攻的场面，请向中央尖出。]CA[UTF-8]LB[cm:1]MULTIGOGM[1]
SZ[19];B[en]C[RIGHT：]KEY[])
"
49,初级篇,上,2.行 棋/01.基本行棋,基本行棋17,"(;AB[dq]AP[MultiGo:4.4.4]AW[co]C[第17题：
      白1夹攻的场面，请向中央尖出。]
CA[UTF-8]LB[co:1]MULTIGOGM[1]SZ[19];B[ep]C[RIGHT：]KEY[])
"
50,初级篇,上,2.行 棋/01.基本行棋,基本行棋18,"(;AB[ep][eq]AP[MultiGo:4.4.4]AW[dq][cp][cn][gq]
C[第18题：
      白1夹攻的场面，请向中央尖出。]CA[UTF-8]LB[gq:1]MULTIGOGM[1]
SZ[19];B[fo]C[RIGHT：]KEY[])
"
51,初级篇,上,2.行 棋/05.镇和封锁,镇和封锁01,"(;AB[jd][pd][qc][nc][pp][qn][fq][cq][cp][cn][fc][fe]AP[MultiGo:4.4.4]
AW[dd][cf][hc][rd][qf][qi][nq][kp][hq][fp][eq][dp]
C[第1题：
      黑先，白1时请利用镇进行攻击。]CA[UTF-8]LB[hc:1]MULTIGOGM[1]
SZ[19];B[he]C[RIGHT：]KEY[])
"
52,初级篇,上,2.行 棋/05.镇和封锁,镇和封锁02,"(;AB[cn][po][pq][pj][qd][od][fc][fe][jd][dk]AP[MultiGo:4.4.4]
AW[dd][db][cf][ci][dp][bo][fq][jp][mp][pg]
C[第2题：
      黑先，白1时请利用镇进行攻击。]CA[UTF-8]LB[pg:1]MULTIGOGM[1]
SZ[19];B[ng]C[RIGHT：]KEY[])
"
53,初级篇,上,2.行 棋/05.镇和封锁,镇和封锁03,"(;AB[qf][qp][oq][cn][dm][em][en][cf][ef][pd]AP[MultiGo:4.4.4]
AW[qj][qm][dp][do][dn][co][fp][ci][dd][fc]
C[第3题：
      黑先，白1时请利用镇进行攻击。]CA[UTF-8]LB[ci:1]MULTIGOGM[1]
SZ[19];B[ei]C[RIGHT：]KEY[])
"
54,初级篇,上,2.行 棋/05.镇和封锁,镇和封锁04,"(;AB[pk][qd][ld][dg][fg][fe][fc][pq]AP[MultiGo:4.4.4]
AW[cq][jp][id][bh][cf][df][dd][db]
C[第4题：
      黑先，白1时请利用镇进行攻击。]CA[UTF-8]LB[db:1]MULTIGOGM[1]
SZ[19];B[if]C[RIGHT：]KEY[])
"
55,初级篇,上,2.行 棋/05.镇和封锁,镇和封锁05,"(;AB[pd][pp][cn][fq]AP[MultiGo:4.4.4]AW[cq][dp][dd][dj]
C[第5题：
      黑先，白1时请利用封锁进行攻击。]CA[UTF-8]LB[cq:1]MULTIGOGM[1]
SZ[19];B[eo]C[RIGHT：]KEY[])
"
56,初级篇,上,2.行 棋/05.镇和封锁,镇和封锁06,"(;AB[pd][jd][ed][ef][gg][pp]AP[MultiGo:4.4.4]AW[dp][qj][cd][cf][gd][he]
C[第6题：
      黑先，白1时请利用封锁进行攻击。]CA[UTF-8]LB[he:1]MULTIGOGM[1]
SZ[19];B[if]C[RIGHT：]KEY[])
"
57,初级篇,上,2.行 棋/05.镇和封锁,镇和封锁07,"(;AB[dj][de][df][cf][pd][qp][pq][jp][fp][cm]AP[MultiGo:4.4.4]
AW[cq][do][ce][cd][dc][kd][qh][qk][qn]
C[第7题：
      黑先，白1时请利用封锁进行攻击。]CA[UTF-8]LB[do:1]MULTIGOGM[1]
SZ[19];B[en]C[RIGHT：]KEY[])
"
58,初级篇,上,2.行 棋/05.镇和封锁,镇和封锁08,"(;AB[dg][pp][mq][pd][qg][gd]AP[MultiGo:4.4.4]AW[dd][ee][dp][rp][qj][qm]
C[第8题：
      黑先，白1时请利用封锁进行攻击。]CA[UTF-8]LB[ee:1]MULTIGOGM[1]
SZ[19];B[ff]C[RIGHT：]KEY[])
"
59,初级篇,上,2.行 棋/05.镇和封锁,镇和封锁09,"(;AB[ci][qp][op][on][qi][oi][pd][ce]AP[MultiGo:4.4.4]
AW[dc][ed][dp][cn][jq][qn][qk][jc]
C[第9题：
      黑先，白1时请利用镇进行攻击。]CA[UTF-8]LB[qk:1]MULTIGOGM[1]
SZ[19];B[ok]C[RIGHT：]KEY[])
"
60,初级篇,上,2.行 棋/05.镇和封锁,镇和封锁10,"(;AB[fp][io][iq][oq][pp][pn][pj][pd][pf][qc][kd][fq]AP[MultiGo:4.4.4]
AW[dp][eq][cn][dd][df][kq][nq][np][pb][nc][ne][kb]
C[第10题：
      黑先，白1时请利用镇进行攻击。]CA[UTF-8]LB[np:1]MULTIGOGM[1]
SZ[19];B[nn]C[RIGHT：]KEY[])
"
61,初级篇,上,2.行 棋/05.镇和封锁,镇和封锁11,"(;AB[oj][ge][if][ke][pd][de][df][cf][ip][hp][eo][fo][cn][cl][pp]
AP[MultiGo:4.4.4]AW[lc][qj][cd][ce][hq][gq][jr][dp][ep][dc][fc][hd][jd][dj][fj]
C[第11题：
      黑先，白1时请利用镇进行攻击。]CA[UTF-8]LB[fj:1]MULTIGOGM[1]
SZ[19];B[hj]C[RIGHT：]KEY[])
"
62,初级篇,上,2.行 棋/05.镇和封锁,镇和封锁12,"(;
AB[oc][bb][cc][cd][dd][de][fe][cf][gc][qc][pf][dq][eq][fp][fn][ob][pd][pe][of][qe][og][ph][pi][op][lr][lq][mq][nq][pp][qp][ro][qn][he]
AP[MultiGo:4.4.4]
AW[qd][rd][jd][qf][nc][bc][bd][be][re][ce][df][dg][pg][rg][di][cr][rq][rp][qq][cq][oq][nr][mr][dp][dn][dl][jf][pq][jh][qb][pb][pc]
C[第12题：
      黑先，白1时请利用镇进行攻击。]CA[UTF-8]LB[jh:1]MULTIGOGM[1]
SZ[19];B[jj]C[RIGHT：]KEY[])
"
63,初级篇,上,2.行 棋/05.镇和封锁,镇和封锁13,"(;AB[jc][pd][pp][qo][jo][kq][fq][fc]AP[MultiGo:4.4.4]
AW[dd][df][qg][qj][qm][iq][dp][cn]
C[第13题：
      黑先，白1时请利用封锁进行攻击。]CA[UTF-8]LB[iq:1]MULTIGOGM[1]
SZ[19];B[hp]C[RIGHT：]KEY[])
"
64,初级篇,上,2.行 棋/05.镇和封锁,镇和封锁14,"(;AB[cf][ef][pd][pj][pp][cj]AP[MultiGo:4.4.4]AW[cp][eq][cl][ch][dd][fc]
C[第14题：
      黑先，白1时请利用封锁进行攻击。]CA[UTF-8]LB[fc:1]MULTIGOGM[1]
SZ[19]TR[ch];B[di]C[RIGHT：]KEY[])
"
65,初级篇,上,2.行 棋/05.镇和封锁,镇和封锁15,"(;AB[qf][qp][oq][iq][eq][do][dn][pd]AP[MultiGo:4.4.4]
AW[dd][jc][qj][qm][gq][co][cp][cm]
C[第15题：
      黑先，白1时请利用封锁进行攻击。]CA[UTF-8]LB[cm:1]MULTIGOGM[1]
SZ[19]TR[gq];B[hp]C[RIGHT：]KEY[])
"
66,初级篇,上,2.行 棋/05.镇和封锁,镇和封锁16,"(;AB[qc][mc][ql][pp][rp][nq][fq][pd]AP[MultiGo:4.4.4]
AW[dp][cn][dd][fc][rd][qg][qj][qn]
C[第16题：
      黑先，白1时请利用封锁进行攻击。]CA[UTF-8]LB[fc:1]MULTIGOGM[1]
SZ[19]TR[qn];B[pm]C[RIGHT：]KEY[])
"
67,初级篇,上,1.接 触 战/06.做坏形,做坏形01,"(;AB[dq][eq][fr][cp]AP[MultiGo:4.4.4]AW[fq][ep][fo]
C[第1题：
      黑先，白1时利用叫吃使白棋成为坏形。]CA[UTF-8]LB[fo:1]
MULTIGOGM[1]SZ[19];B[gq];C[RIGHT：]KEY[]W[fp])
"
68,初级篇,上,1.接 触 战/06.做坏形,做坏形02,"(;AB[dr][eq][bq][bp][cr]AP[MultiGo:4.4.4]AW[cp][cq][dq][ep][fp]
C[第2题：
      黑先，白1时利用叫吃使白棋成为坏形。]CA[UTF-8]LB[cp:1]
MULTIGOGM[1]SZ[19];B[co];C[RIGHT：]KEY[]W[dp])
"
69,初级篇,上,1.接 触 战/06.做坏形,做坏形03,"(;AB[dr][bp][bo][bn][cn][eq][cq]AP[MultiGo:4.4.4]AW[cm][dn][co][cp][dp][dq]
C[第3题：
      黑先，白1时利用叫吃使白棋成为坏形。]CA[UTF-8]LB[dp:1]
MULTIGOGM[1]SZ[19];B[ep];C[RIGHT：]KEY[]W[do])
"
70,初级篇,上,1.接 触 战/06.做坏形,做坏形04,"(;AB[cp][do][dr][er][fr][gq][gp][cq]AP[MultiGo:4.4.4]
AW[fp][fq][eq][dq][dp][eo][en]
C[第4题：
      黑先，白1时利用叫吃使白棋成为坏形。]CA[UTF-8]LB[fp:1]
MULTIGOGM[1]SZ[19];B[fo];C[RIGHT：]KEY[]W[ep])
"
71,初级篇,上,1.接 触 战/06.做坏形,做坏形05,"(;AB[cp][co][do][en][cq]AP[MultiGo:4.4.4]AW[eo][dp][eq][hq]
C[第5题：
      黑先，白1时利用叫吃使白棋成为坏形。]CA[UTF-8]LB[hq:1]
MULTIGOGM[1]SZ[19];B[fo];C[RIGHT：]KEY[]W[ep])
"
72,初级篇,上,1.接 触 战/06.做坏形,做坏形06,"(;AB[dq][eq][fp][go][cq]AP[MultiGo:4.4.4]AW[ep][dp][cp][fo][dn]
C[第6题：
      黑先，白1时利用叫吃使白棋成为坏形。]CA[UTF-8]LB[dn:1]
MULTIGOGM[1]SZ[19];B[fn];C[RIGHT：]KEY[]W[eo])
"
73,初级篇,上,1.接 触 战/06.做坏形,做坏形07,"(;AB[ep][fp][fo][gn][gm][fl][el][co]AP[MultiGo:4.4.4]
AW[dp][dq][do][dn][eo][fn][fm][hp]
C[第7题：
      黑先，白1时利用叫吃使白棋成为坏形。]CA[UTF-8]LB[do:1]
MULTIGOGM[1]SZ[19];B[dm];W[en];B[ho]C[RIGHT：]KEY[])
"
74,初级篇,上,1.接 触 战/06.做坏形,做坏形08,"(;AB[bp][cq][dq][ep][eo][bq]AP[MultiGo:4.4.4]AW[dp][cp][bo][cn][dl]
C[第8题：
      黑先，白1时利用叫吃使白棋成为坏形。]CA[UTF-8]LB[cn:1]
MULTIGOGM[1]SZ[19];B[dn];C[RIGHT：]KEY[]W[co])
"
75,初级篇,上,1.接 触 战/06.做坏形,做坏形09,"(;AB[bq][cr][dq][dp][ep][gr][hr][iq][hp][bs]AP[MultiGo:4.4.4]
AW[cs][ds][dr][eq][fp][fo][en][fr][gq]
C[第9题：
      黑先，白1时利用叫吃使白棋成为坏形。]CA[UTF-8]LB[ds:1]
MULTIGOGM[1]SZ[19];B[fs];C[RIGHT：]KEY[]W[er])
"
